Week,Unique Week,Season,Date,Home Ranking,Home Team,Home Score,Away Ranking,Away Team,Away Score,OT,Location
,,1869,11/06/1869,,Rutgers,6,,Princeton,4,,
,,1869,11/13/1869,,Princeton,8,,Rutgers,0,,
,,1870,11/05/1870,,Rutgers,6,,Columbia,3,,
,,1870,11/12/1870,,Princeton,6,,Rutgers,2,,
,,1872,11/02/1872,,Columbia,0,,Rutgers,0,,
,,1872,11/09/1872,,Rutgers,7,,Columbia,5,,
,,1872,11/16/1872,,Yale,3,,Columbia,0,,
,,1872,11/16/1872,,Princeton,4,,Rutgers,1,,
,,1872,11/23/1872,,Columbia,6,,Stevens,0,,
,,1873,10/18/1873,,Stevens,6,,New York University,1,,
,,1873,10/25/1873,,Stevens,1,,Columbia,2,,
,,1873,10/25/1873,,Yale,3,,Rutgers,1,,
,,1873,11/01/1873,,Stevens,6,,City College of New York,0,,
,,1873,11/01/1873,,Rutgers,5,,Columbia,4,,
,,1873,11/08/1873,,Columbia,4,,Rutgers,3,,
,,1873,11/15/1873,,Yale,0,,Princeton,3,,
,,1873,12/06/1873,,Yale,2,,Eton,1,,
,,1874,10/24/1874,,Rutgers,6,,Columbia,1,,
,,1874,10/31/1874,,Stevens,4,,Columbia,2,,
,,1874,11/01/1874,,Rutgers,0,,Stevens,6,,
,,1874,11/07/1874,,Princeton,6,,Columbia,0,,
,,1874,11/10/1874,,Stevens,6,,New York University,0,,
,,1874,11/14/1874,,Columbia,4,,Rutgers,1,,
,,1874,11/18/1874,,Princeton,6,,Rutgers,0,,
,,1874,11/18/1874,,Yale,6,,Stevens,0,,
,,1874,11/21/1874,,Yale,5,,Columbia,1,,
,,1874,12/05/1874,,Yale,6,,Columbia,1,,
,,1875,10/17/1875,,Stevens,5,,New York University,0,,
,,1875,10/24/1875,,Rutgers,6,,Stevens,0,,
,,1875,10/30/1875,,Canada All-Stars,0,,Harvard,1,,
,,1875,10/31/1875,,Stevens,6,,City College of New York,0,,
,,1875,11/02/1875,,Rutgers,1,,Columbia,1,,
,,1875,11/04/1875,,Stevens,1,,Columbia,2,,
,,1875,11/06/1875,,City College of New York,0,,Columbia,5,,
,,1875,11/06/1875,,Tufts,0,,Harvard,1,,
,,1875,11/06/1875,,Yale,4,,Rutgers,1,,
,,1875,11/11/1875,,Stevens,6,,City College of New York,0,,
,,1875,11/13/1875,,Princeton,6,,Columbia,2,,
,,1875,11/13/1875,,Yale,0,,Harvard,4,,
,,1875,11/20/1875,,Harvard,1,,Canada All-Stars,0,,
,,1875,11/20/1875,,Columbia,6,,City College of New York,0,,
,,1875,11/20/1875,,Princeton,6,,Stevens,0,,
,,1875,11/20/1875,,Yale,6,,Wesleyan,0,,
,,1875,12/04/1875,,Yale,2,,Columbia,3,,
,,1876,11/01/1876,,Pennsylvania,0,,Princeton,6,,
,,1876,11/01/1876,,Rutgers,3,,Stevens,2,,
,,1876,11/04/1876,,Stevens,5,,Columbia,3,,
,,1876,11/04/1876,,Canada All-Stars,0,,Harvard,2,,
,,1876,11/11/1876,,Harvard,1,,McGill,0,,
,,1876,11/11/1876,,Stevens,8,,New York University,0,,
,,1876,11/11/1876,,Columbia,0,,Princeton,3,,
,,1876,11/17/1876,,Pennsylvania,4,,Philadelphia All-Stars,0,,
,,1876,11/18/1876,,Yale,1,,Harvard,0,,
,,1876,11/18/1876,,Columbia,4,,Stevens,0,,
