Week,Unique Week,Season,Date,Home Ranking,Home Team,Home Score,Away Ranking,Away Team,Away Score,OT,Location,Home Elo,Away Elo,Home Win,Away Win,Point Differential,Elo Win,Rank Win
2.0,19.0,2004,"Thurs. Sept. 2, 2004",17,Utah,41,26,Texas A&M,21,0.0,,1500.0,1500.0,1.0,0.0,20,0.0,1.0
2.0,19.0,2004,"Thurs. Sept. 2, 2004",26,Western Michigan,42,26,Tennessee-Martin,0,0.0,,1500.0,1500.0,1.0,0.0,42,0.0,0.5
2.0,19.0,2004,"Thurs. Sept. 2, 2004",26,Ball State,11,26,Boston College,19,0.0,,1500.0,1500.0,0.0,1.0,8,0.0,0.5
2.0,19.0,2004,"Thurs. Sept. 2, 2004",26,Texas Christian,48,26,Northwestern,45,1.0,,1500.0,1500.0,1.0,0.0,3,0.0,0.5
2.0,19.0,2004,"Thurs. Sept. 2, 2004",26,Arizona State,41,26,Texas-El Paso,9,0.0,,1500.0,1500.0,1.0,0.0,32,0.0,0.5
2.0,19.0,2004,"Fri. Sept. 3, 2004",26,New Mexico,17,26,Washington State,21,0.0,,1500.0,1500.0,0.0,1.0,4,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Hawaii,28,26,Florida Atlantic,35,1.0,,1500.0,1500.0,0.0,1.0,7,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",21,Wisconsin,34,26,Central Florida,6,0.0,,1500.0,1500.0,1.0,0.0,28,0.0,1.0
2.0,19.0,2004,"Sat. Sept. 4, 2004",9,Ohio State,27,26,Cincinnati,6,0.0,,1500.0,1500.0,1.0,0.0,21,0.0,1.0
2.0,19.0,2004,"Sat. Sept. 4, 2004",8,Michigan,43,26,Miami ,10,0.0,,1500.0,1500.0,1.0,0.0,33,0.0,1.0
2.0,19.0,2004,"Sat. Sept. 4, 2004",16,Iowa,39,26,Kent State,7,0.0,,1500.0,1500.0,1.0,0.0,32,0.0,1.0
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Connecticut,52,26,Murray State,14,0.0,,1500.0,1500.0,1.0,0.0,38,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Air Force,14,12,California,56,0.0,,1500.0,1500.0,0.0,1.0,42,0.0,1.0
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Temple,14,15,Virginia,44,0.0,,1500.0,1500.0,0.0,1.0,30,0.0,1.0
2.0,19.0,2004,"Sat. Sept. 4, 2004",2,Oklahoma,40,26,Bowling Green,24,0.0,,1500.0,1500.0,1.0,0.0,16,0.0,1.0
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Vanderbilt,6,26,South Carolina,31,0.0,,1500.0,1500.0,0.0,1.0,25,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Georgia Tech,28,26,Samford,7,0.0,,1500.0,1500.0,1.0,0.0,21,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,North Carolina,49,26,William & Mary,38,0.0,,1500.0,1500.0,1.0,0.0,11,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Iowa State,23,26,Northern Iowa,0,0.0,,1500.0,1500.0,1.0,0.0,23,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",18,Auburn,31,26,Louisiana-Monroe,0,0.0,,1500.0,1500.0,1.0,0.0,31,0.0,1.0
2.0,19.0,2004,"Sat. Sept. 4, 2004",3,Georgia,48,26,Georgia Southern,28,0.0,,1500.0,1500.0,1.0,0.0,20,0.0,1.0
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Wyoming,53,26,Appalachian State,7,0.0,,1500.0,1500.0,1.0,0.0,46,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,UCLA,20,26,Oklahoma State,31,0.0,,1500.0,1500.0,0.0,1.0,11,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Rutgers,19,26,Michigan State,14,0.0,,1500.0,1500.0,1.0,0.0,5,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Penn State,48,26,Akron,10,0.0,,1500.0,1500.0,1.0,0.0,38,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",20,Clemson,37,26,Wake Forest,30,1.0,,1500.0,1500.0,1.0,0.0,7,0.0,1.0
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Marshall,15,26,Troy,17,0.0,,1500.0,1500.0,0.0,1.0,2,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,North Carolina State,42,26,Richmond,0,0.0,,1500.0,1500.0,1.0,0.0,42,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",26,Mississippi State,28,26,Tulane,7,0.0,,1500.0,1500.0,1.0,0.0,21,0.0,0.5
2.0,19.0,2004,"Sat. Sept. 4, 2004",23,Maryland,23,26,Northern Illinois,20,0.0,,1500.0,1500.0,1.0,0.0,3,0.0,1.0
