Week,Unique Week,Season,Date,Home Ranking,Home Team,Home Score,Away Ranking,Away Team,Away Score,OT
1.0,1.0,2003.0,"Sat. Aug. 23, 2003",NR,San Jose State,29,NR,Grambling,0,0.0
1.0,1.0,2003.0,"Sat. Aug. 23, 2003",7,Kansas State,42,NR,California,28,0.0
2.0,2.0,2003.0,"Thurs. Aug. 28, 2003",NR,Ball State,31,NR,Indiana State,7,0.0
2.0,2.0,2003.0,"Thurs. Aug. 28, 2003",NR,Bowling Green,63,NR,Eastern Kentucky,13,0.0
2.0,2.0,2003.0,"Thurs. Aug. 28, 2003",NR,Eastern Michigan,28,NR,East Tennessee State,21,0.0
2.0,2.0,2003.0,"Thurs. Aug. 28, 2003",NR,Ohio,17,NR,Southeast Missouri State,3,0.0
2.0,2.0,2003.0,"Thurs. Aug. 28, 2003",NR,Louisiana Tech,9,NR,Miami ,48,0.0
2.0,2.0,2003.0,"Thurs. Aug. 28, 2003",NR,Akron,38,NR,Kent State,41,0.0
2.0,2.0,2003.0,"Thurs. Aug. 28, 2003",NR,Northern Illinois,20,15,Maryland,13,1.0
2.0,2.0,2003.0,"Thurs. Aug. 28, 2003",NR,Middle Tennessee,19,NR,Florida Atlantic,20,0.0
2.0,2.0,2003.0,"Thurs. Aug. 28, 2003",NR,Utah,40,NR,Utah State,20,0.0
2.0,2.0,2003.0,"Thurs. Aug. 28, 2003",NR,Brigham Young,24,NR,Georgia Tech,13,0.0
2.0,2.0,2003.0,"Thurs. Aug. 28, 2003",NR,Oregon State,40,NR,Sacramento State,7,0.0
2.0,2.0,2003.0,"Fri. Aug. 29, 2003",NR,UNLV,28,NR,Toledo,18,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,West Virginia,17,21,Wisconsin,24,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Connecticut,34,NR,Indiana,10,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Iowa,21,NR,Miami ,3,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",4,Michigan,45,NR,Central Michigan,7,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Clemson,0,11,Georgia,30,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Missouri,22,NR,Illinois,15,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Vanderbilt,21,NR,Mississippi,24,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Boston College,28,NR,Wake Forest,32,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Navy,37,NR,VMI,10,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Air Force,49,NR,Wofford,0,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",12,Tennessee,24,NR,Fresno State,6,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Alabama,40,NR,South Florida,17,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Nebraska,17,24,Oklahoma State,7,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Penn State,23,NR,Temple,10,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Michigan State,26,NR,Western Michigan,21,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Wyoming,21,NR,Montana State,10,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,California,34,NR,Southern Mississippi,2,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Marshall,45,NR,Hofstra,21,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",16,North Carolina State,59,NR,Western Carolina,26,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Florida,65,NR,San Jose State,3,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",6,Auburn,0,8,Southern California,23,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",18,Virginia,27,NR,Duke,0,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",1,Oklahoma,37,NR,North Texas,3,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",7,Kansas State,41,NR,Troy State,5,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Iowa State,17,NR,Northern Iowa,10,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Texas Tech,58,NR,Southern Methodist,10,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,South Carolina,14,NR,La.-Lafayette,7,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Rutgers,24,NR,Buffalo,10,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Minnesota,49,NR,Tulsa,10,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Kansas,20,NR,Northwestern,28,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Baylor,19,NR,UAB,24,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Colorado,42,23,Colorado State,35,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",2,Ohio State,28,17,Washington,9,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,North Carolina,0,13,Florida State,37,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",14,Louisiana State,49,NR,Louisiana-Monroe,7,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,New Mexico,72,NR,Southwest Texas State,8,0.0
2.0,2.0,2003.0,"Sat. Aug. 30, 2003",NR,Memphis,40,NR,Tennessee Tech,10,0.0
