Date,Away Team,Away Score,Home Team,Home Score,Location
11/06/1869,Princeton,4,Rutgers,6,
11/13/1869,Rutgers,0,Princeton,8,
11/05/1870,Columbia,3,Rutgers,6,
11/12/1870,Rutgers,2,Princeton,6,
11/02/1872,Rutgers,0,Columbia,0,
11/09/1872,Columbia,5,Rutgers,7,
11/16/1872,Columbia,0,Yale,3,
11/16/1872,Rutgers,1,Princeton,4,
11/23/1872,Stevens,0,Columbia,6,
10/18/1873,New York University,1,Stevens,6,
10/25/1873,Columbia,2,Stevens,1,
10/25/1873,Rutgers,1,Yale,3,
11/01/1873,City College of New York,0,Stevens,6,
11/01/1873,Columbia,4,Rutgers,5,
11/08/1873,Rutgers,3,Columbia,4,
11/15/1873,Princeton,3,Yale,0,
12/06/1873,Eton,1,Yale,2,
10/24/1874,Columbia,1,Rutgers,6,
10/31/1874,Columbia,2,Stevens,4,
11/01/1874,Stevens,6,Rutgers,0,
11/07/1874,Columbia,0,Princeton,6,
11/10/1874,New York University,0,Stevens,6,
11/14/1874,Rutgers,1,Columbia,4,
11/18/1874,Rutgers,0,Princeton,6,
11/18/1874,Stevens,0,Yale,6,
11/21/1874,Columbia,1,Yale,5,
12/05/1874,Columbia,1,Yale,6,
10/17/1875,New York University,0,Stevens,5,
10/24/1875,Stevens,0,Rutgers,6,
10/30/1875,Harvard,1,Canada All-Stars,0,
10/31/1875,City College of New York,0,Stevens,6,
11/02/1875,Columbia,1,Rutgers,1,
11/04/1875,Columbia,2,Stevens,1,
11/06/1875,Columbia,5,City College of New York,0,
11/06/1875,Harvard,1,Tufts,0,
11/06/1875,Rutgers,1,Yale,4,
11/11/1875,City College of New York,0,Stevens,6,
11/13/1875,Columbia,2,Princeton,6,
11/13/1875,Harvard,4,Yale,0,
11/20/1875,Canada All-Stars,0,Harvard,1,
11/20/1875,City College of New York,0,Columbia,6,
11/20/1875,Stevens,0,Princeton,6,
11/20/1875,Wesleyan,0,Yale,6,
12/04/1875,Columbia,3,Yale,2,
11/01/1876,Princeton,6,Pennsylvania,0,
11/01/1876,Stevens,2,Rutgers,3,
11/04/1876,Columbia,3,Stevens,5,
11/04/1876,Harvard,2,Canada All-Stars,0,
11/11/1876,McGill,0,Harvard,1,
11/11/1876,New York University,0,Stevens,8,
11/11/1876,Princeton,3,Columbia,0,
11/17/1876,Philadelphia All-Stars,0,Pennsylvania,4,
11/18/1876,Harvard,0,Yale,1,
11/18/1876,Stevens,0,Columbia,4,
11/25/1876,Pennsylvania,0,Princeton,6,
11/30/1876,Princeton,0,Yale,2,"@ Hoboken, NJ"
12/09/1876,Yale,2,Columbia,0,"@ Hoboken, NJ"
03/03/1877,Princeton,0,Harvard,1,
10/27/1877,Harvard,6,Columbia,0,
10/27/1877,Rutgers,1,Stevens,4,
11/03/1877,Tufts,0,Yale,1,
11/06/1877,Rutgers,0,Columbia,1,
11/10/1877,Harvard,1,McGill,0,
11/13/1877,Columbia,1,Stevens,0,
11/14/1877,Stevens,0,Rutgers,5,
11/17/1877,Princeton,1,Harvard,0,neutral
11/17/1877,Tufts,4,Amherst,8,
