"","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Comp","Pass.Yard","Pass.TD","Pass.Int","Pass.Conv","Kickoff.Ret","Kickoff.Ret.Yard","Kickoff.Ret.TD","Punt.Ret","Punt.Ret.Yard","Punt.Ret.TD","Fum.Ret","Fum.Ret.Yard","Fum.Ret.TD","Int.Ret","Int.Ret.Yard","Int.Ret.TD","Misc.Ret","Misc.Ret.Yard","Misc.Ret.TD","Field.Goal.Att","Field.Goal.Made","Off.XP.Kick.Att","Off.XP.Kick.Made","Off.2XP.Att","Off.2XP.Made","Def.2XP.Att","Def.2XP.Made","Safety","Punt","Punt.Yard","Kickoff","Kickoff.Yard","Kickoff.Touchback","Kickoff.Out.Of.Bounds","Kickoff.Onside","Fumble","Fumble.Lost","Tackle.Solo","Tackle.Assist","Tackle.For.Loss","Tackle.For.Loss.Yard","Sack","Sack.Yard","QB.Hurry","Fumble.Forced","Pass.Broken.Up","Kick.Punt.Blocked","X1st.Down.Rush","X1st.Down.Pass","X1st.Down.Penalty","Time.Of.Possession","Penalty","Penalty.Yard","Third.Down.Att","Third.Down.Conv","Fourth.Down.Att","Fourth.Down.Conv","Red.Zone.Att","Red.Zone.TD","Red.Zone.Field.Goal"
"Rush.Att",1,0.884252556159675,0.673069181644246,-0.765573329368946,-0.67387739918194,-0.586687028970019,-0.346217581224738,-0.532969779627793,-0.0553616868908735,-0.278574922040673,-0.234461034917473,0.00861908460348701,0.031486337154612,0.0631641018078447,0.0256003833234668,-0.0236492736126869,0.0240458373377452,0.0311270542386152,0.0649193438426121,0.0288435854801048,0.0531618299593683,-0.0361324766677188,-0.104077795411945,-0.0865131639769763,0.0275971256809976,0.052338665841098,0.229087210513631,0.231663493456953,0.063793184234518,0.151192238529708,-0.0716484311808019,-0.0427372983647436,-0.0212440567509461,-0.260253055489539,-0.264336243712761,0.232104710550469,0.21903264402106,0.11327777840194,0.00256262555775049,-0.121672164355299,0.15479665485284,0.110341410146584,-0.199988112765983,-0.0646715233320221,-0.0184941172402963,0.0226593667437388,0.0637294499067049,0.0721615327400252,-0.0739854437721538,0.0340506661768201,0.0484772067876539,-0.0541128303572912,0.897840460993375,-0.591914489313997,-0.295871887422278,0.391315079375601,-0.266518923274875,-0.23796538740764,0.0744137477870441,0.352928634130131,0.104711896158962,0.279243124281145,0.214418991462476,0.244211275468176,0.0508130736307934
"Rush.Yard",0.884252556159675,1,0.851317766581123,-0.636444956259891,-0.511749502966735,-0.378187642734902,-0.101509324018943,-0.5500412828737,-0.0132327066404401,-0.325710262251652,-0.257414198340602,0.0637200073782395,0.0810539558766591,0.131259182495382,0.0817210270228593,-0.00869579634979764,0.0273776625305862,0.0113140097432796,0.0979780452507725,0.0712654413910454,0.0906875854163175,-0.034235520440006,-0.0805662501597576,-0.0386415782851573,0.0225796661495623,0.0712158955212316,0.506560484464121,0.507638734534578,0.115194798664148,0.205837661824802,-0.0730629619075175,-0.0190805509139664,-0.0343281549139184,-0.510528218122586,-0.492328365142867,0.493232437313343,0.476630362823663,0.212227188785248,0.0491694762312306,-0.139756283501399,0.101876424731132,0.076262940762339,-0.126652253503607,-0.0598693190298718,0.0327944736642058,0.080608581812475,0.152024005262566,0.141000076359899,-0.037358232054211,0.0418198990206904,0.163511909438795,-0.063953529764066,0.961374920486404,-0.396262499980228,-0.283277428468463,0.279222125827872,-0.189667469960077,-0.139536212628885,-0.180094527326424,0.393265989281597,0.0245349209904861,0.237571162504527,0.432377738910208,0.473734137120622,0.087505499158177
"Rush.TD",0.673069181644246,0.851317766581123,1,-0.389789380621822,-0.218967613072906,-0.0601503232376379,0.115264804758214,-0.553698466650584,0.022446487179877,-0.372956582734451,-0.273666120049994,0.117456981493339,0.181911928901336,0.272341922473129,0.162816081242192,0.0309718312524416,0.031003289241447,0.031554400218744,0.202360657282854,0.155995608042713,0.147371903350622,-0.0167893809337779,-0.0739805886179348,-0.0491491026900848,0.0295414349750196,0.0895854605900723,0.755902094432996,0.754841825827825,0.118340606825784,0.206044315129026,-0.0516570042543659,0.0274918357289154,-0.0286914003479585,-0.651257105917084,-0.615631757513107,0.725003218807427,0.69868680270015,0.288615543067138,0.0868393738177797,-0.136188682320874,0.00654010508396798,-0.00724060279413075,-0.0572003490104879,-0.122652903921952,0.116991395796838,0.194388791041997,0.282754109687777,0.266073440930414,0.0337389232982018,0.0768311493031289,0.295809559343088,-0.0137984538385085,0.82439089390013,-0.0846655886686519,-0.20248980491626,0.259985749891528,-0.120117386345862,-0.0699668310473914,-0.280853530269232,0.479698858734023,-0.0466704880720557,0.224663350340731,0.679431294488446,0.737958130041009,0.141634508934735
"Pass.Att",-0.765573329368946,-0.636444956259891,-0.389789380621822,1,0.955189375921864,0.868105051039836,0.627756455275693,0.460819140563414,0.118461837490676,0.193931949157661,0.15263175484118,-0.0160184680464386,-0.0194403006825171,-0.0528884848946937,-0.0605546486437633,0.0244572315053312,-0.00238873667010649,-0.0264407010558736,0.0111019201511662,0.0121141435477744,-0.00124813273189865,-0.0249797826913066,0.0685773943276806,0.0665227793891959,0.00785018041976476,-0.0104119506516846,0.127153048862837,0.117977420865744,0.0527724294430446,-0.032167970556865,0.0956688356700064,0.0698495587934274,0.0178082803070326,0.0709986650201858,0.0734470170352965,0.105593225068226,0.0854188875303276,0.0642088124298623,0.0295725275841568,0.183445404775977,-0.121758022625485,-0.0233036600572485,0.297918306221801,0.0342964282241607,0.0656063252526182,0.0348356125549808,0.0249650482027464,0.00670504585849794,0.0778749058260831,0.0447879247011297,0.13795136472796,-0.00269468156467019,-0.595755598410622,0.887873880868382,0.453912843924516,-0.34768063138162,0.295067441431429,0.317820676402879,0.272484362155209,0.169573093557189,0.0999618386527617,-0.0174497710718593,0.20202176460908,0.153433729331383,0.0441632534637329
"Pass.Comp",-0.67387739918194,-0.511749502966735,-0.218967613072906,0.955189375921864,1,0.929186221051061,0.73424085626718,0.31077682212027,0.133194111583681,0.0785437370796304,0.0619805749382514,0.0039750402130944,0.0104712152232569,0.00540213003567773,-0.0386108477881087,0.0318818981212814,0.016558755247868,-0.00319559125869324,0.0621327280312693,0.0527105968505535,0.0404629781110872,-0.0353324909032531,0.0466758328988305,0.0576803386357395,0.0158117874948709,0.0179715610186766,0.312533246021438,0.301995411917187,0.0817067215479097,0.00101528517468997,0.0886038312382139,0.0834174186142117,0.0225447156442209,-0.123542729267625,-0.112486683155224,0.285013701860777,0.261894760514151,0.141710459002556,0.0350350745944088,0.148164754817556,-0.158218170435894,-0.0382332663544088,0.261631832022107,0.020387659598173,0.0699923471538257,0.0706947510808115,0.0917590984947611,0.0683312257948926,0.102747472005963,0.0734845574160575,0.194813424843913,-0.00290453984583712,-0.465111445239361,0.944066708759053,0.407188904562134,-0.26825975454125,0.27716630745629,0.314247532414744,0.159221176130393,0.283873658564931,0.0729608381172173,0.0313493194190928,0.371722486415302,0.338535337366963,0.0845260224185177
"Pass.Yard",-0.586687028970019,-0.378187642734902,-0.0601503232376379,0.868105051039836,0.929186221051061,1,0.857400970225895,0.218992860759015,0.164132017728723,-0.0190065067150463,-0.0129210994788715,0.0452957859661109,0.0632023447433402,0.0656327405040459,0.00943143550643857,0.0584245442618531,0.0133959682849022,-0.00561684791364369,0.120353309963758,0.110296983647775,0.0883389372594878,-0.0340258721434904,0.0327303562891572,0.0582745515926938,0.0409446864922024,0.0657342507777267,0.503269358840556,0.493826076133908,0.102535477527412,0.051336115911836,0.0981175383060515,0.0945067145722142,0.0260103197500517,-0.302967739560924,-0.27748877670812,0.477120618508693,0.453517696804276,0.230007759628806,0.075048953862492,0.0893858902025132,-0.161106954358613,-0.0743226661325262,0.262922811665103,-0.0257430115641382,0.144644303992934,0.149402974555259,0.172344602162818,0.146014627951559,0.16077242946874,0.0586366142282166,0.247094094166557,-0.0122074645565113,-0.348509773608201,0.97561464646026,0.357662677490296,-0.234615219220321,0.279874406860654,0.316137313609411,-0.019537065530918,0.320860899974358,-0.00849228275565076,0.000225972632588607,0.515355195065623,0.485559851959078,0.145117614592838
"Pass.TD",-0.346217581224738,-0.101509324018943,0.115264804758214,0.627756455275693,0.73424085626718,0.857400970225895,1,0.0188536575357842,0.183245635612824,-0.144998066678833,-0.100014828407985,0.0821675119847283,0.143057106923465,0.14795952955432,0.036041109874417,0.058264914700867,0.023220181960232,0.014089464925279,0.209518250664998,0.174523899225854,0.147703046449905,-0.00836254599743583,0.0327516229799531,0.0671179631374701,-0.0700952935719246,-0.0183390973141467,0.713540065219256,0.703155922909808,0.157399579321753,0.127652312901215,0.116355863416054,0.119165079275636,0.0370679804632985,-0.456104572541247,-0.429363902108079,0.654082342782517,0.629211533064021,0.275520848839219,0.122165302479972,-0.0148487152181581,-0.154709266801653,-0.101167463604421,0.218493962796456,-0.0348311437343121,0.185389639835244,0.202721877734359,0.245378294967745,0.214353825191081,0.155542281114947,0.114570502102822,0.300404350945345,0.0180324143716289,-0.088509208438127,0.824935767897912,0.281636005180557,-0.182714746484919,0.219562412658735,0.261078039023443,-0.167212143211374,0.385853727759201,-0.0197041824361737,0.0723454297377592,0.623704959270742,0.666468945616685,0.0497392488277627
"Pass.Int",-0.532969779627793,-0.5500412828737,-0.553698466650584,0.460819140563414,0.31077682212027,0.218992860759015,0.0188536575357842,1,0.00901558639468499,0.370090273528527,0.280501384140579,-0.0747433067364251,-0.114232033806785,-0.186128148927907,-0.0664375686534788,-0.0414946346965596,-0.0618857989442577,-0.0809806018844026,-0.180258734751123,-0.104908101457466,-0.113057257210114,0.0239612787140171,0.0387682718482287,0.0192693316155233,-0.119014953300023,-0.146640533972509,-0.37226573705747,-0.371779239829499,-0.0525121718215718,-0.108502220122213,0.0734220726033054,0.0148639452774318,0.0461093881751042,0.311748404884735,0.286026781227627,-0.394302793206307,-0.394412435303119,-0.151040987444752,-0.0182328745324816,0.18485210188482,0.0220474275428932,0.0333877904826563,0.20248032012315,0.0192806812021123,0.00989502109864219,-0.0570304515172738,-0.141753445949713,-0.138759557897803,0.0426956082965106,-0.0118767170544116,-0.143195196715156,0.00239658605241383,-0.549672597795537,0.24377636452261,0.190926734779464,-0.294978298492372,0.180756480630528,0.163970034971784,0.195805467769321,-0.229118842368359,0.0976861090293596,-0.0967659288649963,-0.315922194379488,-0.357889039379053,-0.144210445069094
"Pass.Conv",-0.0553616868908735,-0.0132327066404401,0.022446487179877,0.118461837490676,0.133194111583681,0.164132017728723,0.183245635612824,0.00901558639468499,1,0.0108356366556443,0.0441583619292868,0.108727616861825,0.00832464954912488,0.0305066482777268,0.0446350670593289,-0.058032967683134,-0.0814120149309169,-0.0766397639724461,0.00556569619115843,0.0186367343557069,0.018114538477986,-0.0146155374859951,-0.0388694215249167,-0.00313218704700329,-0.0511278327425447,-0.0663785739029404,0.0699257163143202,0.0579316272090735,0.621990918035148,0.82826281804199,0.0149325044045542,-0.0172912605575007,0.0257519204441525,-0.114741193451422,-0.116655379663757,0.0992170476616701,0.0921379753335766,0.0472734866377045,-0.0450355903861157,0.0643857100462347,0.00663655244304417,0.0325517150949858,0.0396320937411976,0.00994945001723639,-0.0113598553751681,-0.0277841088627248,0.00159222136300223,-0.0155473539230113,-0.0125962618673508,0.0423205347299824,0.0599089662220423,0.0586527707142051,-0.0363646397477025,0.162981130596311,0.0976271563599289,-0.0334490257016803,0.138286678002404,0.139264543806806,-0.00905686106186801,0.0693161091316544,0.117031776693035,0.108658412771315,0.126289461894876,0.131104480434621,-0.0586084678939986
"Kickoff.Ret",-0.278574922040673,-0.325710262251652,-0.372956582734451,0.193931949157661,0.0785437370796304,-0.0190065067150463,-0.144998066678833,0.370090273528527,0.0108356366556443,1,0.918895139132391,0.0306596056241662,-0.452160848734574,-0.443531918415887,-0.22972333830034,-0.112707788417504,-0.0714786388838151,-0.157058127426001,-0.402937072696662,-0.303287156834933,-0.268933169072326,-0.0172257862606467,-0.00570948241964974,-0.00842352616476756,-0.266520106733465,-0.305004078883314,-0.385813656964917,-0.389976845364122,0.0271817344605035,-0.0277818103536823,0.0841730448081818,0.05596794448631,-0.104739600860659,0.334663611317096,0.305825477998258,-0.457629166990592,-0.462108847035138,-0.474680998025293,0.0567028259601766,0.282995577227372,0.142115115909994,0.150171868673635,0.192466086773685,0.114634719269089,-0.372715312199314,-0.435595572757721,-0.50477342386117,-0.481116071327701,-0.17715715039664,-0.0872784485430717,-0.380925982496197,-0.0145459925797817,-0.317946338208965,-0.018622081865044,0.145056256859419,-0.253428924881042,0.112407186973584,0.13623619592843,0.180928286579963,-0.229579956468111,0.267490455711204,0.0543968851201023,-0.406290773888306,-0.365444963331671,-0.316135990956486
