"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"Rush.Yard",0.196762551167667,-0.381321495423191,0.0155542888286438,-0.0633364298130949,0.0559978203752927,-0.0851051836014049,0.0276268073225205,-0.0936216377268166,0.0771819986946784,-0.0869483731340352,-0.0162501348905984,0.0718321054088257,-0.0971315029017982,-0.0074932080231588,-0.0122031640791092,-0.0115346715160758,-0.0881258989602158,-0.144856866155302,0.186974868472266,-0.0522589161962277,-0.000154978952539856,-0.0781262942624457,-0.0147924891690749,-0.0645969619051931,-0.00137487347255281,0.0266430905613437,0.119601626201642,-0.0516523723651755,-0.0435094138367496,0.200171363218705,-0.0265070746249367,-0.134176387771495,0.198513720131204,0.0378979025265743,0.00784324210421759,0.112994949232359,-0.514051845692016,-0.395393626035222,-0.0759744998402127,0.357331955208297
"Pass.Yard",0.133879357045385,0.345755234955101,0.277153363740985,0.175883423155336,-0.0579694936407724,-0.00714478602286114,0.0215557513634026,0.0653039371676059,-0.0239255933977147,0.0796108562543107,-0.0324209922799527,0.0291959977623959,0.0313924191476938,0.0340238456773002,-0.0190871547492571,-0.0174821883242295,-0.0112844251377399,0.0854306791105504,-0.0780922878740398,0.0358053603993625,0.0821529135491073,0.047843656104742,0.0414142501228069,0.0869127736304389,-0.0260354943307443,-0.046028558943417,-0.0825710706637211,-0.0185687494710998,-0.122841973334117,0.13211253632589,-0.0929868893562683,-0.0407528772867556,0.238121053430857,0.03531238002141,-0.0368225633740507,0.297097417795681,0.16449695971036,0.240915688285068,-0.115747462700514,0.634839184432085
"Pass.Int",-0.166145795428963,0.270332913727779,0.0576192652926037,-0.0100429989148308,0.031723117955991,0.0501403665919496,-0.0172433446778973,0.0908291181282672,0.0246258995889688,0.0653989111078307,-0.0548426768315471,0.123044229450482,0.148088802160024,-0.054945211024455,0.0700667449318762,-0.11054143778773,-0.111081258308278,-0.149522457700744,0.0476141341489821,0.0125599236626689,0.220992269397032,-0.0584706415335011,-0.238653618346933,-0.559504440616423,0.0525609053700496,0.227177344317065,0.483115300895973,-0.099009147306018,0.0776130647403825,0.198640925483059,0.0754856475409855,0.0453338311192438,0.0264565493743351,0.0126096629607303,-0.0377020221587552,-0.0584765130418285,0.0521350476606184,-0.00221950028096612,0.0103154024855505,0.000343094465192845
"Pass.Conv",0.0349424020805479,0.0300062297979308,0.194906863366113,-0.292682192388286,-0.311901420621337,0.0387623001047812,-0.410524894071511,0.0630628603036826,-0.196256448521635,-0.206469501502785,0.0796211796699543,0.0307962556603988,-0.0323246568735883,0.0661651397524984,0.0454316237802077,0.062891299998244,-0.00517831829984861,-0.0909990542240725,-0.124749951256194,-0.0111946251172395,0.0572741055805441,0.0284621369532684,-0.00220156529083817,-0.0135302851866898,0.022207774594404,-0.0656403590228369,-0.0486275948563375,-0.0326981279855536,0.0738291380336791,-0.0183543519320164,0.479982880191538,-0.458727134824082,0.014375129538576,0.116850877215694,0.0689120750478197,0.0232677904560821,0.0214319243920011,0.00852635562890805,0.00721003737152532,-0.0145572526199587
"Kickoff.Ret.Yard",-0.196617770458694,0.0612568958603496,0.149016097392735,-0.0920968129172688,-0.0694049744020519,-0.274770743443486,0.0906774602869255,0.00881743885122663,0.25075273271589,-0.226368947270398,-0.0174640796223504,-0.0866597010395262,-0.0435324772032791,-0.222780712000022,-0.000340554168514098,-0.132413727631569,0.0400351168069657,0.154926689950875,0.145143224645412,0.00743330115316138,0.166614613641205,-0.165670313620457,0.0427462933073911,0.0114266938182318,0.229700626194946,-0.0365790275829162,-0.125099498624495,-0.578438847476905,0.193758462073397,-0.269596266465621,-0.0492792322144456,-0.00776293397974887,-0.0658536184173482,-0.027262428633998,0.0195064228964027,0.130122243915833,-0.00894062154843397,-0.0258294149112687,-0.0534427825034797,0.0186670325862218
"Kickoff.Ret.TD",0.0602413541196161,0.0429198277257255,0.00650215714707164,-0.144105578258234,-0.132320323805191,-0.263573261407161,-0.0636110367316276,-0.141652373847236,0.435924549437308,-0.267353009199992,-0.116392854077741,-0.0687901157400942,0.101074399579153,-0.270962316867723,-0.0976397946301426,0.0731953065292267,0.244571686290781,0.289395949956249,-0.126039570664622,0.188084098274815,-0.168395255116298,0.251705955459213,-0.104974806058853,-0.121425110195199,-0.123469504718928,-0.0446817739505275,0.180915606051049,0.329511905475691,-0.0273774206531058,0.0903306682588942,-0.0118997246615171,-0.0216959939010978,-0.00794238209374254,0.0295243186158943,-0.0431364718184805,0.0299061473611584,0.0105451146887688,-0.00915177905029858,0.000493082687831593,0.00735664486629781
"Punt.Ret.Yard",0.215631692835127,0.0688947112672991,-0.184069111383158,-0.204713706637735,-0.135905668510193,0.0945468814150732,0.0543365478836675,-0.0330515862516916,0.062018957019621,0.27261072653013,0.113771477735143,-0.185964831708277,0.087169046684675,0.0390947052002844,0.0753705466064505,-0.157971904191043,-0.0206544030533847,0.0458731471743244,0.0808256346473382,0.0592557564293288,0.125801969952317,-0.00343655847894242,-0.104743411581151,0.00272764883033981,0.0403139319193773,-0.138063295783706,-0.111934691237142,0.203240533621304,0.716786614413617,0.0489131166747794,-0.0529949156556472,0.0104010892413909,0.147225729642902,-0.0998343274836546,0.0314793244555229,0.0874358718817773,-0.0101065138797729,-0.0306329808927622,-0.0233634939161707,0.0344868393179046
"Punt.Ret.TD",0.130361900858251,0.0566631018291915,-0.140270436807649,-0.252295936720172,-0.209046364405294,0.0434742164849721,0.100764037190873,-0.138303925049772,0.035497871796986,0.311365244293262,0.113629417515247,-0.222358848488799,0.171915670078675,-0.171483706478739,0.117142302842816,-0.19975757424068,0.0726179855296874,-0.228675400997543,0.126792785324751,0.201370576647748,0.122460418612651,-0.0183991099564746,-0.217747651237533,0.0520273317799233,-0.15884231053293,-0.191799472954923,-0.00565446000462153,-0.13853302142355,-0.504554666331924,-0.115693824139946,0.0242514979027504,-0.0642093475364401,-0.11636406940711,-0.0154274175180525,-0.0208211994160284,0.0182372608854814,-0.00457199074766004,-0.0108861626553646,0.00594226954078893,0.0127756726800973
"Fum.Ret",0.0583115069111523,0.0646035501502909,-0.0217282693988252,-0.0772655575760269,0.255559154150761,0.00446613681023605,0.0607457997254445,-0.184746002229861,-0.420084549865751,-0.0644334381072788,-0.293205893124414,-0.150568993846972,-0.17281516636615,-0.120712227764191,0.39917574764261,-0.0337475759661375,0.254891058887159,0.135860652737842,-0.0166993984779842,0.10555531191689,0.0723150295739603,0.0386742188068906,0.115125236979361,0.162623397090835,0.241931056464388,-0.191726476235534,0.384837915484855,0.00839143901429962,0.0259199947748114,0.0227490369267248,0.0206390397236517,-0.0228147069712202,0.0172794040361595,0.0065141252327029,-0.000119389987008275,0.0343408981195812,-0.0123807689945014,-0.00367772282285408,0.00959715778769715,0.00181001797244201
"Int.Ret",0.187008048498217,0.0804594067271059,-0.127280252198833,-0.0796378796505508,-0.0104261497390362,0.0592329533338066,-0.00787451444989518,0.0297045540027615,0.213639199718552,0.0688647740938406,0.0445848184572671,-0.203172167908127,-0.0750525745933138,0.29170768346177,0.182751391556227,0.198890432582236,0.144902256277971,0.135000484099985,-0.326035862999342,-0.394351944720361,-0.11622596861135,-0.212857515142583,0.021179117009117,-0.0290204468626671,-0.342050873251984,0.0422819162247738,0.282642462273206,-0.275312170993171,0.0120715077418107,-0.153117341302729,0.00125387970063816,0.021789373799438,0.0291144597828387,-0.00840337693435356,-0.0242805616096711,0.0971017258491681,0.00432549607968502,-0.0559623111207602,-0.00936516726729096,0.0162367618291536
